F5 B5
E9 I9
C10 G10
C9 C7
G5 G7
F4 F2
B11
A10
D10 D6
B12 B8
E4 A4
M6 M8
F3 F5
E10 E12
G12
B3
0
E10 B2
B3 M4
E10 I3
E11 A2
A10 L5
A2 N6
G9 F5
B10 E2
D5 F10
N6 H4
B11 D8
D8 C1
F3 M4
M7 E9
E10 N11
D8 I2
G6 L8
B10 G2
E10 G10
D8 D7
D8 B8
D8 N5
D5 B10
B10 E6
E10 M8
B10 I6
C8 H2
D8 G10
G9 M10
F4 I2
B8 M2
H4 H3
E10 C1
C4 L4
M2 A9
M4 N9
G9 G1
H3 A8
L8 G5
A8 C6
H2 A4
D8 H11
E10 G6
G12 E3
L5 L10
C4 D8
D5 D7
E9 L5
A9 D1
B10 E8
D5 N7
E3 G2
G9 C9
I2 M9
D1 I12
D8 E12
A4 H2
C6 E10
D5 M4
E10 H9
I12 B11
C4 H5
M4 D8
G2 G12
B11 G8
N9 N10
G9 E3
B10 G9
D5 F1
N10 F2
L10 M12
D8 M1
G5 E2
L5 B6
G9 C7
B6 E9
H2 L10
B10 I4
M12 A3
M9 F11
D5 D5
E9 L4
G8 D2
B10 B8
A3 A1
F2 B3
D8 H7
B3 C7
L10 M9
D8 F7
E10 N8
B10 N7
D2 F1
C4 N7
G9 H4
D8 C6
E2 A3
C7 H6
G9 A12
H9 M5
D5 G12
C4 H6
G9 L8
L4 I6
PP 104
