a1 a5
b1 b5
c1 g1
c2 c4
c5 e5
h1 h3
e9
i11
L7 L3
N9 H9
C12 G12
A9 A7
D7 B7
C5 E5
F6
N12
0
E9 C10
L9 B6
A3 C12
L5 H9
A3 D12
A8 G5
A3 E12
G5 B11
A3 A9
N12 G7
A3 A8
F6 I10
A3 A7
G7 N11
C10 C10
C7 C7
A3 B10
I10 N7
A3 B11
N11 G1
A3 B12
N7 D8
C10 C10
G1 D4
A3 D8
E12 A4
A3 C12
L5 H11
A3 D12
D4 H11
A3 E12
H11 D2
C10 H10
D5 H2
A3 F12
L5 F8
A3 G12
C7 I12
A3 H9
I12 D9
A3 I9
L9 H10
A3 L9
L5 C7
I11 L10
L5 L12
A3 M9
D9 E7
A3 N9
D2 N8
L10 l3
L5 L8
A3 L3
N8 I9
A3 L4
H2 D5
A3 l5
L5 I3
L3 G3
E7 C2
G3 D3
L5 C5
A3 C5
I9 M3
A3 C6
D5 B4
A3 C7
B4 E10
D3 D3
L5 N3
A3 B2
E10 D7
A3 C2
L5 C11
A3 D2
D7 H6
D3 L3
H6 G9
L3 L8
L5 A6
A3 M3
G9 F11
L8 H8
F11 H12
C3 C10
L5 D11
C10 l10
H12 H2
l10 l3
L5 L12
l3 l7
L5 F6
h8 l3
L5 F1
A3 I2
L5 I10
A3 H2
L5 G4
A3 g2
L5 E9
A3 l6
L5 B8
A3 l7
PP 104
